ticker,company,date,open_inr,high_inr,low_inr,close_inr,volume,daily_return_pct,return_pct,volume_ma20,volume_ratio,price_range_pct,momentum_5d,ma20,ma20_deviation,is_anomaly,anomaly_score,anomaly_pct
TCS.BSE,Tata Consultancy Services,2025-12-29,3279.8,3286.0,3243.5,3253.6499,74178,-0.7973077626684644,-0.7973077626684644,166765.45,0.44480436445318855,1.3062253563298254,-2.1355632062190932,3242.697495,0.33775598916913463,False,-0.41157489757417853,8.93162780983188
TCS.BSE,Tata Consultancy Services,2025-12-30,3240.1001,3266.0,3239.5,3247.5,58391,-0.1890154192680571,-0.1890154192680571,166231.35,0.3512634650443493,0.8160123171670517,-1.9030357951971055,3248.29249,-0.024397125641841943,False,-0.42816253517722275,14.079348471144186
TCS.BSE,Tata Consultancy Services,2025-12-31,3246.0,3246.0,3199.1001,3205.75,126727,-1.2856043110084703,-1.2856043110084703,161699.75,0.78371797111622,1.4629930593464835,-3.4514462797161083,3249.58249,-1.3488652814595816,False,-0.4349348400688822,16.181030136115197
TCS.BSE,Tata Consultancy Services,2026-01-01,3206.05,3234.25,3198.75,3226.8,220572,0.6566326132730227,0.6566326132730227,146113.9,1.5095894367339453,1.1001611503656872,-2.817476988345291,3249.477495,-0.6978812758326214,False,-0.4585597992710995,23.51267636074668
TCS.BSE,Tata Consultancy Services,2026-01-02,3243.3999,3253.3999,3220.0,3250.1001,63797,0.722080699144656,0.722080699144656,131800.25,0.48404308793040984,1.0276575789157967,-0.9055399719495094,3250.037505,0.0019259777742265958,False,-0.4081841392294574,7.879357606784112
TCS.BSE,Tata Consultancy Services,2026-01-05,3249.8501,3249.8501,3191.8501,3214.7,126704,-1.0892002987846539,-1.0892002987846539,127153.85,0.9964621598166316,1.8042119015771303,-1.1971140472120223,3248.8775100000003,-1.0519790264422877,False,-0.3983214163125111,4.818611782011246
TCS.BSE,Tata Consultancy Services,2026-01-06,3211.1001,3259.0,3206.3999,3255.75,24666,1.2769465268920976,1.2769465268920976,119825.35,0.20584959693420465,1.6156062351224791,0.25404157043880105,3251.2525100000003,0.1383309966287344,False,-0.43041846601512085,14.779442243545404
TCS.BSE,Tata Consultancy Services,2026-01-07,3247.2,3300.0,3230.5,3294.45,119941,1.188666205943334,1.188666205943334,117121.8,1.0240706683128162,2.1096085841339223,2.7669032207751743,3256.5675149999997,1.1632642291465003,False,-0.44709808235878085,19.955707105954943
TCS.BSE,Tata Consultancy Services,2026-01-08,3294.45,3294.45,3181.6001,3204.3,446517,-2.7364203433046352,-2.7364203433046352,119571.95,3.734295543394584,3.5218269200761383,-0.6972852361472714,3257.20251,-1.6241701226000802,True,-0.5933635455266025,65.34696563255969
TCS.BSE,Tata Consultancy Services,2026-01-09,3185.05,3229.3,3185.05,3208.0,161257,0.11546983740597927,0.11546983740597927,121946.35,1.3223602018428595,1.379364089775561,-1.2953477955955917,3256.595015,-1.4922031992363005,False,-0.3962925128515806,4.188972497890219
TCS.BSE,Tata Consultancy Services,2026-01-12,3201.0,3250.0,3174.1001,3235.7,180366,0.8634663341645865,0.8634663341645865,128280.2,1.4060314842041095,2.3457026300336836,0.6532491367779336,3256.86002,-0.6497061547029663,False,-0.4180764579481754,10.949288037823038
TCS.BSE,Tata Consultancy Services,2026-01-13,3265.0,3279.0,3210.3,3267.6001,266941,0.9858794078561051,0.9858794078561051,138587.55,1.9261542613315557,2.1024604571410013,0.3639745066420952,3260.012525,0.23274680516756652,False,-0.44623751310032783,19.688642545090914
TCS.BSE,Tata Consultancy Services,2026-01-14,3264.95,3264.95,3183.05,3192.3,428686,-2.3044466181770473,-2.3044466181770473,158163.75,2.7103935004070148,2.5655483507189056,-3.1006693074716485,3258.74752,-2.0390508805051493,False,-0.5139948585547139,40.71610260288763
TCS.BSE,Tata Consultancy Services,2026-01-15,3192.3,3192.3,3192.3,3192.3,0,0.0,0.0,142712.55,0.0,0.0,-0.3744967699653601,3254.357515,-1.9069052712851668,False,-0.4916880508534135,33.79352461801345
TCS.BSE,Tata Consultancy Services,2026-01-16,3215.05,3221.0,3172.2,3206.7,129233,0.4510854243022111,0.4510854243022111,145898.0,0.885776364309312,1.5218137025602703,-0.040523690773075494,3250.56251,-1.349382141246697,False,-0.38279427503025953,0.0
TCS.BSE,Tata Consultancy Services,2026-01-19,3185.55,3219.8999,3151.7,3163.0,197502,-1.3627716967599013,-1.3627716967599013,148671.05,1.32844962082396,2.156177679418276,-2.246809036684483,3242.480015,-2.4512106360661745,False,-0.4176547005702494,10.818402059942017
TCS.BSE,Tata Consultancy Services,2026-01-20,3152.0,3160.8999,3094.05,3108.05,588857,-1.737274739171668,-1.737274739171668,173231.9,3.3992411328398524,2.1508630813532505,-4.882791501934403,3232.357515,-3.845722956793657,False,-0.5299980944273911,45.682463088995405
TCS.BSE,Tata Consultancy Services,2026-01-21,3091.2,3137.25,3082.0,3121.3,183440,0.42631231801291136,0.42631231801291136,174594.95,1.0506603999714768,1.7700957934194086,-2.224101744823481,3222.40501,-3.1375637043215674,False,-0.40205108308403925,5.976057052944938
TCS.BSE,Tata Consultancy Services,2026-01-22,3140.1001,3159.0,3121.55,3151.25,150626,0.9595360907314276,0.9595360907314276,182126.25,0.8270416812513298,1.18841729472431,-1.2859067130282287,3213.9500049999997,-1.9508705767811,False,-0.3992529197893939,5.107689697069745
TCS.BSE,Tata Consultancy Services,2026-01-23,3152.1001,3193.75,3152.0,3160.8501,95171,0.3046441888139739,0.3046441888139739,182178.6,0.5224049366939915,1.3208471986697503,-1.4298156983815091,3208.00251,-1.469837066929218,False,-0.38345241033974303,0.20424226834721537
TCS.BSE,Tata Consultancy Services,2026-01-26,3160.8501,3160.8501,3160.8501,3160.8501,0,0.0,0.0,178469.7,0.0,0.0,-0.06797028137843775,3203.36252,-1.3271186053584725,False,-0.4896741313071193,33.16853536355947
TCS.BSE,Tata Consultancy Services,2026-01-27,3161.2,3176.5,3131.0,3158.3999,164571,-0.07751712110612985,-0.07751712110612985,183778.7,0.8954846236261329,1.440602882491226,1.6199835909975535,3198.907515,-1.2662952839385226,False,-0.4063468777378466,7.309191488682842
