ticker,company,date,open_inr,high_inr,low_inr,close_inr,volume,daily_return_pct
TCS.BSE,Tata Consultancy Services,2025-11-05,2989.8,2989.8,2989.8,2989.8,0,
TCS.BSE,Tata Consultancy Services,2025-11-06,2989.8,3024.0,2989.8,3011.05,586552,0.7107498829353132
TCS.BSE,Tata Consultancy Services,2025-11-07,2996.2,3002.3999,2960.0,2992.3501,167733,-0.6210424934823378
TCS.BSE,Tata Consultancy Services,2025-11-10,2990.0,3047.0,2990.0,3025.8,111706,1.1178471396111167
TCS.BSE,Tata Consultancy Services,2025-11-11,3047.8999,3055.0,3017.5,3048.1499,111395,0.7386443254676411
TCS.BSE,Tata Consultancy Services,2025-11-12,3056.1001,3136.0,3056.1001,3131.25,309022,2.7262471573330505
TCS.BSE,Tata Consultancy Services,2025-11-13,3131.25,3132.0,3101.05,3105.7,477009,-0.8159680638722633
TCS.BSE,Tata Consultancy Services,2025-11-14,3099.75,3112.1001,3077.5,3105.0,167532,-0.022539202112237255
TCS.BSE,Tata Consultancy Services,2025-11-17,3109.95,3111.0,3087.6001,3102.55,41297,-0.07890499194846967
TCS.BSE,Tata Consultancy Services,2025-11-18,3100.0,3102.0,3080.0,3085.6499,104079,-0.5447164429259854
TCS.BSE,Tata Consultancy Services,2025-11-19,3103.95,3156.0,3084.05,3147.2,122096,1.9947207879934759
TCS.BSE,Tata Consultancy Services,2025-11-20,3150.0,3163.5,3137.1499,3145.75,361891,-0.046072699542443196
TCS.BSE,Tata Consultancy Services,2025-11-21,3145.75,3170.0,3136.0,3150.05,242380,0.13669236271161012
TCS.BSE,Tata Consultancy Services,2025-11-24,3145.45,3179.0,3131.3999,3140.55,112076,-0.3015825145632589
TCS.BSE,Tata Consultancy Services,2025-11-25,3140.75,3146.95,3115.45,3119.8,105596,-0.6607122956170053
TCS.BSE,Tata Consultancy Services,2025-11-26,3119.8,3177.0,3117.95,3162.25,165644,1.3606641451375134
TCS.BSE,Tata Consultancy Services,2025-11-27,3174.1499,3178.8501,3125.0,3136.8999,401820,-0.8016475610720275
